,trial,name,params,2009,2010,loss
373,99,only_threshold,{'t_lm': 0.6999182663667727},21,12,36
374,99,without_threshold,{'N_bins': 13},8,8,31
375,99,with_threshold,"{'N_bins': 36, 't_lm': 0.48602346192453394}",8,7,32
376,99,sing.link.,{'eps': 0.13463996275290452},7,8,32
377,99,only_threshold,{'t_lm': 0.750692602401719},21,12,36
378,99,without_threshold,{'N_bins': 14},8,8,31
379,99,with_threshold,"{'N_bins': 33, 't_lm': 0.6079900840134048}",8,7,32
380,99,sing.link.,{'eps': 0.39793961110594567},10,9,28
381,99,only_threshold,{'t_lm': 0.797940384415033},21,12,36
382,99,without_threshold,{'N_bins': 28},11,12,26
383,99,with_threshold,"{'N_bins': 7, 't_lm': 0.6841962404879516}",8,7,32
384,99,sing.link.,{'eps': 0.29424961930682414},14,9,32
385,99,only_threshold,{'t_lm': 0.5844408287487409},23,11,39
386,99,without_threshold,{'N_bins': 8},7,9,31
387,99,with_threshold,"{'N_bins': 39, 't_lm': 0.34047680548606374}",9,7,31
388,99,sing.link.,{'eps': 0.14543384622731215},8,10,29
389,99,only_threshold,{'t_lm': 0.18159063881950735},28,18,37
390,99,without_threshold,{'N_bins': 33},11,13,25
391,99,with_threshold,"{'N_bins': 49, 't_lm': 0.48789374262226715}",9,7,31
392,99,sing.link.,{'eps': 0.17677623346158877},15,4,38
393,99,only_threshold,{'t_lm': 0.6062904110859361},22,11,38
394,99,without_threshold,{'N_bins': 28},11,12,26
395,99,with_threshold,"{'N_bins': 42, 't_lm': 0.8953851775319438}",8,7,32
396,99,sing.link.,{'eps': 0.23508428173456208},14,5,36
397,99,only_threshold,{'t_lm': 0.21684657514731},27,17,37
398,99,without_threshold,{'N_bins': 14},8,8,31
399,99,with_threshold,"{'N_bins': 46, 't_lm': 0.46847668943142595}",9,7,31
